amenity_name,n_properties
"clothing storage: walk-in closet, closet, wardrobe, and dresser",5171
folding or convertible high chair – available upon request,5157
ev charger - level 2,5149
"coffee maker: drip coffee maker, pour-over coffee",5140
"children’s books and toys for ages 0–2 years old, 2–5 years old and 5–10 years old",5087
32-inch hdtv,5082
private beach access,5044
folding or convertible high chair – always at the listing,5038
55-inch hdtv,5013
whirlpool refrigerator,4997
travel cot – always at the listing,4991
schlüsselbox,4883
shared outdoor kitchen,4806
32 inch hdtv,4751
hdtv with roku,4742
shared bbq grill: gas,4681
paid washer,4665
private back garden,4619
children’s books and toys for ages 2–5 years old,4597
shared back garden – not fully fenced,4568
tv with roku,4555
"shared outdoor pool – available seasonally, open specific hours",4553
free residential garage on premises – 2 spaces,4523
ge refrigerator,4519
folding or convertible high chair - available upon request,4346
bücher und lesematerial,4343
tv with dvd player,4322
"private outdoor pool – available all year, open 24 hours",4314
children’s books and toys for ages 2–5 years old and 5–10 years old,4260
other stainless steel gas stove,4242
shared gym,4235
key safe,4228
begrüßung durch gastgeber,4195
mixer,4185
"coffee maker: espresso machine, nespresso",4159
baby bath – always at the listing,4152
"children’s books and toys for ages 0-2 years old, 2-5 years old, and 5-10 years old",4085
paid parking garage on premises,4081
waschmaschine – in der unterkunft: kostenlos,4053
"shared hot tub – available all year, open specific hours",4053
grillbesteck,4028
game console: ps4,4001
55 inch hdtv,3997
"children’s books and toys for ages 2–5 years old, 5–10 years old and 10+ years old",3995
folding or convertible high chair - always at the listing,3963
waschsalon in der nähe,3936
sonos bluetooth sound system,3893
dove shampoo,3808
ge electric stove,3801
stainless steel induction stove,3771
"private outdoor pool - available all year, open 24 hours",3741
50-inch hdtv,3715
children’s books and toys for ages 2-5 years old,3701
"bbq grill: charcoal, wood-burning",3681
"shared outdoor pool - available seasonally, open specific hours",3679
paid parking garage on premises – 1 space,3640
paid parking lot on premises – 1 space,3633
unterkunft auf nur einer ebene,3633
gym in building,3612
free washing machine – in unit,3610
private outdoor pool,3587
zentralheizung,3583
free carport on premises,3561
bosch refrigerator,3535
climbing wall,3530
tragbare ventilatoren,3529
deckenventilator,3517
aufzug,3487
children’s books and toys for ages 2-5 years old and 5-10 years old,3465
terrasse oder balkon,3462
"shared hot tub - available all year, open specific hours",3430
brettspiele,3393
indoor fireplace: pellet stove,3369
dove conditioner,3362
changing table – always at the listing,3353
hinterhof/garten,3303
clothes storage: chest of drawers,3285
shared pool – available all year,3281
paid car park off premises,3279
ge stainless steel electric stove,3272
aufbewahrung von kleidung,3246
clothing storage: walk-in closet and wardrobe,3238
stainless steel gas cooker,3167
"children’s books and toys for ages 2-5 years old, 5-10 years old, and 10+ years old",3166
children’s playroom,3159
baby bath - always at the listing,3145
paid dryer,3123
"private bbq grill: charcoal, wood-burning",3113
"coffee maker: espresso machine, pour-over coffee",3110
bowling alley,3090
free parking garage on premises – 2 spaces,3086
50 inch hdtv,3026
private hot tub – available all year,2998
"shared outdoor pool – available all year, open specific hours, heated",2981
pantene shampoo,2975
"clothes storage: walk-in wardrobe, wardrobe and chest of drawers",2973
changing table – available upon request,2970
housekeeping available every day - available at extra cost,2961
"coffee maker: french press, nespresso",2946
32 inch hdtv with standard cable,2921
clothes storage: walk-in wardrobe,2908
bbq grill: electric,2853
aufbewahrung von kleidung: einbauschrank,2845
hdtv with premium cable,2830
trockner – in der unterkunft: kostenlos,2774
babybett,2758
free carport on premises – 2 spaces,2751
sonos sound system,2733
pantene conditioner,2731
stainless steel electric cooker,2725
ethernet-verbindung,2719
